Year,Callinectes sapidus,Centropomus spp,Coryphaena hippurus,Hirundichthys affinis,Holothuriidae,Lobatus gigas,Lobatus gigas2,Lobatus gigas3,Lobatus gigas4,Lobatus gigas5,Lobatus gigas6,Lutjanus campechanus,Menticirrhus littoralis,Mugil cephalus,Octopus spp,Opisthonema oglinum,Panulirus argus,Panulirus argus2,Panulirus argus3,Sardinella aurita,Thunnus atlanticus
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26890,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.77,NA,NA,NA,26734,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.72,NA,NA,NA,26499,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.9,NA,NA,NA,26106,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.63,NA,NA,NA,25633,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.4,NA,NA,NA,25160,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.93,NA,NA,NA,23894,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.83,NA,NA,NA,23262,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.91,NA,NA,NA,22948,NA,NA,430,NA,NA,NA,NA
1984,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30416.7,NA,22634,NA,NA,420,NA,NA,NA,NA
1985,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27905.9,NA,22320,NA,NA,414,NA,NA,NA,NA
1986,42.9,0.11883111,NA,NA,NA,NA,NA,NA,NA,309.78,2.4,25603.4,NA,22084,NA,NA,426,NA,NA,NA,NA
1987,29.2,0.123270385,NA,NA,NA,NA,NA,NA,NA,310.12,NA,24342.2,NA,21215,NA,NA,484,NA,NA,NA,NA
1988,25,0.1577966,NA,161.6,NA,149.5,NA,NA,NA,294.06,NA,22039.7,NA,19314,NA,NA,581,NA,NA,800000,NA
1989,35,0.08953174,NA,98.7,NA,110.8,0.156,NA,NA,241.82,NA,20153.9,NA,16938,NA,NA,656,6.58,NA,NA,38.89
1990,29,0.06639886,NA,91.2,NA,130.1,0.133,NA,NA,344.04,NA,18684.4,NA,15354,NA,NA,672,6.87,NA,NA,1333.33
1991,28.9,0.07234388,NA,87.9,NA,128.8,NA,NA,NA,354.23,NA,17214.9,0.0039,14881,NA,NA,697,6.27,NA,NA,694.44
1992,25.5,0.08631126,47.02,125.7,NA,124.9,0.092,NA,1.03,426.88,NA,16371.1,0.0032,15043,NA,2619.1,677,5.14,51.82,NA,161.11
1993,32.8,0.060166873,50.37,160.2,NA,155.1,0.106,NA,1.1,473.25,NA,15317.9,0.0101,15364,NA,1967.2,723,7.15,61,NA,133.33
1994,34.5,0.057589706,57.23,85.5,NA,155.8,0.09,11652,1.07,486.73,0.98,15099.1,0.0126,16001,NA,2173.9,762,6.39,76.79,NA,194.44
1995,23.3,0.05701657,67.77,69.9,NA,163.5,0.113,NA,0.77,467.33,1,14462.6,0.0215,16004,26533.115,2200.6,791,7.37,71.27,941000,194.44
1996,7.9,0.07248658,55,86,NA,160.2,0.085,NA,0.85,461.13,0.9,14035.1,0.0236,14976,28153.307,3321.5,771,4.2,81.92,701234,1105.56
1997,11.6,0.061382547,61.22,74.6,NA,153.1,0.007,9781,0.77,458.22,0.89,13608.3,0.0347,13789,25329.867,2420.3,747,6.55,77.12,739571,988.89
1998,NA,0.0718417,50.53,101.1,NA,154.4,0.009,NA,0.74,507.86,0.86,12555.1,0.0307,13555,24611.654,2668.6,736,NA,78.58,787613,905.56
1999,NA,0.066257715,55,95.9,NA,179.5,0.006,NA,0.71,504.91,0.9,11501.9,0.0382,14668,25997.932,2210.6,719,6.02,83.71,NA,27.78
2000,NA,0.13136604,48.14,95,NA,179.4,NA,NA,0.54,515.15,0.76,11075.2,0.0179,14275,25981.459,2140.2,695,4.95,63.85,NA,138.89
2001,NA,0.030201342,51.65,89.3,NA,200.7,0.015,NA,0.48,462.88,0.91,11063.7,0.0228,12691,24561.87,2582.5,666,6.46,49.13,NA,683.33
2002,NA,0.03895973,49.1,78.9,NA,203.9,0.028,10503,0.58,423.8,0.99,10636.2,0.0177,NA,23725.965,3163.2,657,6.46,65.29,NA,944.44
2003,NA,0.03412752,66.49,89.3,NA,180,0.017,NA,0.65,463.57,0.89,11042,0.0175,NA,23007.385,2829.9,680,4.51,71.53,NA,116.67
2004,NA,0.021442953,51.97,42,NA,203.8,0.057,NA,0.58,457.36,0.51,NA,0.0351,NA,25446.643,4130.8,684,4.64,85.85,NA,250
2005,NA,0.019026846,47.98,78.9,NA,127.8,0.07,NA,0.71,503.75,NA,NA,0.0307,NA,21454.732,3575.8,652,4.2,75.55,NA,283.33
2006,NA,0.017516779,51.17,77,NA,228.2,0.02,NA,NA,563.22,NA,NA,0.0238,NA,24945.502,2536,664,3.82,96.12,NA,133.33
2007,NA,0.022651007,51.81,99.7,4372,139.3,0.157,7422,NA,695.04,NA,NA,0.0247,NA,19198.14,2742.8,724,4.89,74.05,NA,138.89
2008,NA,0.027181208,51.65,159.2,5774,194,0.021,NA,NA,455.48,NA,NA,0.0166,NA,16139.689,2201.7,788,1.38,67.42,NA,72.22
2009,NA,NA,54.2,NA,7350,179.2,0.01,NA,NA,353.93,NA,NA,0.0177,NA,NA,4056.5,818,2.35,91.3,160000,27.78
2010,NA,NA,49.89,NA,3938,192.7,0.038,NA,NA,275.38,NA,NA,0.0228,NA,NA,3321.5,845,3.64,115.55,NA,NA
2011,NA,NA,53.72,NA,4194,120.5,0.075,11871,NA,269.2,NA,NA,0.0166,NA,NA,2877.3,882,NA,111.13,NA,NA
2012,NA,NA,54.68,NA,4294,126.3,0.059,NA,NA,322.08,NA,NA,0.0187,NA,NA,4053.6,923,NA,93.84,NA,NA
2013,NA,NA,61.38,NA,4233,NA,0.069,NA,NA,NA,NA,NA,0.0137,NA,NA,2501.4,907,NA,112.57,NA,NA
2014,NA,NA,66.97,NA,5633,NA,NA,NA,NA,NA,NA,NA,0.0146,NA,NA,2874.3,938,NA,101.16,NA,NA
2015,NA,NA,59.31,NA,4389,NA,NA,12438,NA,NA,NA,NA,0.0111,NA,NA,1668.4,920,NA,111.44,NA,NA
2016,NA,NA,60.74,NA,4419,NA,NA,NA,NA,NA,NA,NA,0.0043,NA,NA,2858.5,882,NA,117.31,NA,NA
2017,NA,NA,43.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074,NA,NA,2760.7,NA,NA,105.54,NA,NA
2018,NA,NA,46.86,NA,2421,NA,NA,9268,NA,NA,NA,NA,0.0101,NA,NA,2911.9,NA,NA,127.95,NA,NA
2019,NA,NA,45.11,NA,2472,NA,NA,NA,NA,NA,NA,NA,0.0144,NA,NA,4489.9,NA,NA,100.36,NA,NA
