year,stock,capture,index
1950,Callinectes sapidus,50,NA
1950,Centropomus spp,3000,NA
1950,Coryphaena hippurus,1003,NA
1950,Hirundichthys affinis,1800,NA
1950,Lobatus gigas,25,NA
1950,Lobatus gigas2,7,NA
1950,Lobatus gigas3,150,NA
1950,Lobatus gigas4,8,NA
1950,Lobatus gigas5,530,NA
1950,Lobatus gigas6,9,NA
1950,Lutjanus campechanus,200,NA
1950,Menticirrhus littoralis,1432,NA
1950,Mugil cephalus,175,NA
1950,Octopus spp,50,NA
1950,Opisthonema oglinum,3000,NA
1950,Panulirus argus,1300,NA
1950,Panulirus argus2,300,NA
1950,Panulirus argus3,807,NA
1950,Sardinella aurita,17000,NA
1950,Thunnus atlanticus,900,NA
1951,Callinectes sapidus,100,NA
1951,Centropomus spp,3000,NA
1951,Coryphaena hippurus,1012,NA
1951,Hirundichthys affinis,1800,NA
1951,Lobatus gigas,50,NA
1951,Lobatus gigas2,10,NA
1951,Lobatus gigas3,250,NA
1951,Lobatus gigas4,10,NA
1951,Lobatus gigas5,530,NA
1951,Lobatus gigas6,10,NA
1951,Lutjanus campechanus,300,NA
1951,Menticirrhus littoralis,1616,NA
1951,Mugil cephalus,200,NA
1951,Octopus spp,100,NA
1951,Opisthonema oglinum,3000,NA
1951,Panulirus argus,1100,NA
1951,Panulirus argus2,300,NA
1951,Panulirus argus3,1505,NA
1951,Sardinella aurita,16000,NA
1951,Thunnus atlanticus,900,NA
1952,Callinectes sapidus,150,NA
1952,Centropomus spp,3000,NA
1952,Coryphaena hippurus,1312,NA
1952,Hirundichthys affinis,2600,NA
1952,Lobatus gigas,100,NA
1952,Lobatus gigas2,13,NA
1952,Lobatus gigas3,350,NA
1952,Lobatus gigas4,12,NA
1952,Lobatus gigas5,530,NA
1952,Lobatus gigas6,11,NA
1952,Lutjanus campechanus,400,NA
1952,Menticirrhus littoralis,2390,NA
1952,Mugil cephalus,225,NA
1952,Octopus spp,150,NA
1952,Opisthonema oglinum,3000,NA
1952,Panulirus argus,1300,NA
1952,Panulirus argus2,300,NA
1952,Panulirus argus3,831,NA
1952,Sardinella aurita,13000,NA
1952,Thunnus atlanticus,900,NA
1953,Callinectes sapidus,200,NA
1953,Centropomus spp,3000,NA
1953,Coryphaena hippurus,1313,NA
1953,Hirundichthys affinis,2300,NA
1953,Lobatus gigas,150,NA
1953,Lobatus gigas2,16,NA
1953,Lobatus gigas3,450,NA
1953,Lobatus gigas4,14,NA
1953,Lobatus gigas5,530,NA
1953,Lobatus gigas6,12,NA
1953,Lutjanus campechanus,500,NA
1953,Menticirrhus littoralis,2241,NA
1953,Mugil cephalus,250,NA
1953,Octopus spp,200,NA
1953,Opisthonema oglinum,3000,NA
1953,Panulirus argus,1200,NA
1953,Panulirus argus2,300,NA
1953,Panulirus argus3,1005,NA
1953,Sardinella aurita,12400,NA
1953,Thunnus atlanticus,1000,NA
1954,Callinectes sapidus,250,NA
1954,Centropomus spp,3300,NA
1954,Coryphaena hippurus,1114,NA
1954,Hirundichthys affinis,1800,NA
1954,Lobatus gigas,200,NA
1954,Lobatus gigas2,19,NA
1954,Lobatus gigas3,500,NA
1954,Lobatus gigas4,16,NA
1954,Lobatus gigas5,530,NA
1954,Lobatus gigas6,13,NA
1954,Lutjanus campechanus,600,NA
1954,Menticirrhus littoralis,2209,NA
1954,Mugil cephalus,275,NA
1954,Octopus spp,250,NA
1954,Opisthonema oglinum,3000,NA
1954,Panulirus argus,1800,NA
1954,Panulirus argus2,600,NA
1954,Panulirus argus3,983,NA
1954,Sardinella aurita,8400,NA
1954,Thunnus atlanticus,1200,NA
1955,Callinectes sapidus,300,NA
1955,Centropomus spp,3700,NA
1955,Coryphaena hippurus,1105,NA
1955,Hirundichthys affinis,2000,NA
1955,Lobatus gigas,250,NA
1955,Lobatus gigas2,22,NA
1955,Lobatus gigas3,550,NA
1955,Lobatus gigas4,18,NA
1955,Lobatus gigas5,530,NA
1955,Lobatus gigas6,14,NA
1955,Lutjanus campechanus,700,NA
1955,Menticirrhus littoralis,1976,NA
1955,Mugil cephalus,300,NA
1955,Octopus spp,300,NA
1955,Opisthonema oglinum,3000,NA
1955,Panulirus argus,2300,NA
1955,Panulirus argus2,600,NA
1955,Panulirus argus3,1741,NA
1955,Sardinella aurita,17500,NA
1955,Thunnus atlanticus,600,NA
1956,Callinectes sapidus,350,NA
1956,Centropomus spp,5100,NA
1956,Coryphaena hippurus,1304,NA
1956,Hirundichthys affinis,2300,NA
1956,Lobatus gigas,300,NA
1956,Lobatus gigas2,25,NA
1956,Lobatus gigas3,600,NA
1956,Lobatus gigas4,20,NA
1956,Lobatus gigas5,530,NA
1956,Lobatus gigas6,15,NA
1956,Lutjanus campechanus,800,NA
1956,Menticirrhus littoralis,2081,NA
1956,Mugil cephalus,325,NA
1956,Octopus spp,350,NA
1956,Opisthonema oglinum,3318,NA
1956,Panulirus argus,4400,NA
1956,Panulirus argus2,600,NA
1956,Panulirus argus3,2112,NA
1956,Sardinella aurita,13700,NA
1956,Thunnus atlanticus,1000,NA
1957,Callinectes sapidus,400,NA
1957,Centropomus spp,3400,NA
1957,Coryphaena hippurus,1509,NA
1957,Hirundichthys affinis,2700,NA
1957,Lobatus gigas,350,NA
1957,Lobatus gigas2,28,NA
1957,Lobatus gigas3,650,NA
1957,Lobatus gigas4,22,NA
1957,Lobatus gigas5,530,NA
1957,Lobatus gigas6,16,NA
1957,Lutjanus campechanus,900,NA
1957,Menticirrhus littoralis,2043,NA
1957,Mugil cephalus,350,NA
1957,Octopus spp,400,NA
1957,Opisthonema oglinum,7055,NA
1957,Panulirus argus,6900,NA
1957,Panulirus argus2,900,NA
1957,Panulirus argus3,2532,NA
1957,Sardinella aurita,27300,NA
1957,Thunnus atlanticus,1200,NA
1958,Callinectes sapidus,450,NA
1958,Centropomus spp,2000,NA
1958,Coryphaena hippurus,1707,NA
1958,Hirundichthys affinis,3200,NA
1958,Lobatus gigas,400,NA
1958,Lobatus gigas2,31,NA
1958,Lobatus gigas3,700,NA
1958,Lobatus gigas4,24,NA
1958,Lobatus gigas5,530,NA
1958,Lobatus gigas6,17,NA
1958,Lutjanus campechanus,1000,NA
1958,Menticirrhus littoralis,1892,NA
1958,Mugil cephalus,375,NA
1958,Octopus spp,500,NA
1958,Opisthonema oglinum,2355,NA
1958,Panulirus argus,5600,NA
1958,Panulirus argus2,1400,NA
1958,Panulirus argus3,2040,NA
1958,Sardinella aurita,30400,NA
1958,Thunnus atlanticus,1900,NA
1959,Callinectes sapidus,500,NA
1959,Centropomus spp,3100,NA
1959,Coryphaena hippurus,1808,NA
1959,Hirundichthys affinis,2500,NA
1959,Lobatus gigas,450,NA
1959,Lobatus gigas2,34,NA
1959,Lobatus gigas3,750,NA
1959,Lobatus gigas4,26,NA
1959,Lobatus gigas5,530,NA
1959,Lobatus gigas6,18,NA
1959,Lutjanus campechanus,1100,NA
1959,Menticirrhus littoralis,1443,NA
1959,Mugil cephalus,400,NA
1959,Octopus spp,200,NA
1959,Opisthonema oglinum,2936,NA
1959,Panulirus argus,8300,NA
1959,Panulirus argus2,1500,NA
1959,Panulirus argus3,2242,NA
1959,Sardinella aurita,32000,NA
1959,Thunnus atlanticus,2000,NA
1960,Callinectes sapidus,550,NA
1960,Centropomus spp,2200,NA
1960,Coryphaena hippurus,1706,NA
1960,Hirundichthys affinis,2800,NA
1960,Lobatus gigas,500,NA
1960,Lobatus gigas2,37,NA
1960,Lobatus gigas3,800,NA
1960,Lobatus gigas4,28,NA
1960,Lobatus gigas5,530,NA
1960,Lobatus gigas6,19,NA
1960,Lutjanus campechanus,1200,NA
1960,Menticirrhus littoralis,1758,NA
1960,Mugil cephalus,425,NA
1960,Octopus spp,400,NA
1960,Opisthonema oglinum,5625,NA
1960,Panulirus argus,8400,NA
1960,Panulirus argus2,1700,NA
1960,Panulirus argus3,2192,NA
1960,Sardinella aurita,30600,NA
1960,Thunnus atlanticus,2000,NA
1961,Callinectes sapidus,600,NA
1961,Centropomus spp,2100,NA
1961,Coryphaena hippurus,1914,NA
1961,Hirundichthys affinis,2800,NA
1961,Lobatus gigas,550,NA
1961,Lobatus gigas2,40,NA
1961,Lobatus gigas3,850,NA
1961,Lobatus gigas4,30,NA
1961,Lobatus gigas5,530,NA
1961,Lobatus gigas6,20,NA
1961,Lutjanus campechanus,1300,NA
1961,Menticirrhus littoralis,1954,NA
1961,Mugil cephalus,450,NA
1961,Octopus spp,500,NA
1961,Opisthonema oglinum,1872,NA
1961,Panulirus argus,8700,NA
1961,Panulirus argus2,1800,NA
1961,Panulirus argus3,1972,NA
1961,Sardinella aurita,27900,NA
1961,Thunnus atlanticus,1700,NA
1962,Callinectes sapidus,650,NA
1962,Centropomus spp,4000,NA
1962,Coryphaena hippurus,1511,NA
1962,Hirundichthys affinis,2700,NA
1962,Lobatus gigas,600,NA
1962,Lobatus gigas2,43,NA
1962,Lobatus gigas3,900,NA
1962,Lobatus gigas4,32,NA
1962,Lobatus gigas5,1060,NA
1962,Lobatus gigas6,21,NA
1962,Lutjanus campechanus,1400,NA
1962,Menticirrhus littoralis,1867,NA
1962,Mugil cephalus,500,NA
1962,Octopus spp,500,NA
1962,Opisthonema oglinum,500,NA
1962,Panulirus argus,8000,NA
1962,Panulirus argus2,1900,NA
1962,Panulirus argus3,2324,NA
1962,Sardinella aurita,36700,NA
1962,Thunnus atlanticus,2300,NA
1963,Callinectes sapidus,700,NA
1963,Centropomus spp,3100,NA
1963,Coryphaena hippurus,1204,NA
1963,Hirundichthys affinis,1700,NA
1963,Lobatus gigas,650,NA
1963,Lobatus gigas2,46,NA
1963,Lobatus gigas3,950,NA
1963,Lobatus gigas4,34,NA
1963,Lobatus gigas5,1060,NA
1963,Lobatus gigas6,22,NA
1963,Lutjanus campechanus,1500,NA
1963,Menticirrhus littoralis,1722,NA
1963,Mugil cephalus,2000,NA
1963,Octopus spp,700,NA
1963,Opisthonema oglinum,500,NA
1963,Panulirus argus,7900,NA
1963,Panulirus argus2,2100,NA
1963,Panulirus argus3,2626,NA
1963,Sardinella aurita,39200,NA
1963,Thunnus atlanticus,2400,NA
1964,Callinectes sapidus,750,NA
1964,Centropomus spp,2700,NA
1964,Coryphaena hippurus,1213,NA
1964,Hirundichthys affinis,1500,NA
1964,Lobatus gigas,700,NA
1964,Lobatus gigas2,49,NA
1964,Lobatus gigas3,1050,NA
1964,Lobatus gigas4,36,NA
1964,Lobatus gigas5,1060,NA
1964,Lobatus gigas6,23,NA
1964,Lutjanus campechanus,1600,NA
1964,Menticirrhus littoralis,2130,NA
1964,Mugil cephalus,1800,NA
1964,Octopus spp,300,NA
1964,Opisthonema oglinum,500,NA
1964,Panulirus argus,7400,NA
1964,Panulirus argus2,2200,NA
1964,Panulirus argus3,2647,NA
1964,Sardinella aurita,42100,NA
1964,Thunnus atlanticus,2400,NA
1965,Callinectes sapidus,800,NA
1965,Centropomus spp,2500,NA
1965,Coryphaena hippurus,1115,NA
1965,Hirundichthys affinis,1600,NA
1965,Lobatus gigas,750,NA
1965,Lobatus gigas2,52,NA
1965,Lobatus gigas3,1150,NA
1965,Lobatus gigas4,38,NA
1965,Lobatus gigas5,1060,NA
1965,Lobatus gigas6,24,NA
1965,Lutjanus campechanus,1700,NA
1965,Menticirrhus littoralis,2541,NA
1965,Mugil cephalus,2200,NA
1965,Octopus spp,800,NA
1965,Opisthonema oglinum,487,NA
1965,Panulirus argus,9900,NA
1965,Panulirus argus2,1600,NA
1965,Panulirus argus3,4008,NA
1965,Sardinella aurita,43800,NA
1965,Thunnus atlanticus,2200,NA
1966,Callinectes sapidus,850,NA
1966,Centropomus spp,2700,NA
1966,Coryphaena hippurus,1635,NA
1966,Hirundichthys affinis,2800,NA
1966,Lobatus gigas,1500,NA
1966,Lobatus gigas2,55,NA
1966,Lobatus gigas3,1250,NA
1966,Lobatus gigas4,40,NA
1966,Lobatus gigas5,1060,NA
1966,Lobatus gigas6,25,NA
1966,Lutjanus campechanus,1800,NA
1966,Menticirrhus littoralis,2233,NA
1966,Mugil cephalus,1500,NA
1966,Octopus spp,1100,NA
1966,Opisthonema oglinum,1171,NA
1966,Panulirus argus,9800,NA
1966,Panulirus argus2,1700,NA
1966,Panulirus argus3,3727,NA
1966,Sardinella aurita,39100,NA
1966,Thunnus atlanticus,2000,NA
1967,Callinectes sapidus,900,NA
1967,Centropomus spp,2600,NA
1967,Coryphaena hippurus,2086,NA
1967,Hirundichthys affinis,2800,NA
1967,Lobatus gigas,750,NA
1967,Lobatus gigas2,58,NA
1967,Lobatus gigas3,1350,NA
1967,Lobatus gigas4,42,NA
1967,Lobatus gigas5,1060,NA
1967,Lobatus gigas6,26,NA
1967,Lutjanus campechanus,1900,NA
1967,Menticirrhus littoralis,2161,NA
1967,Mugil cephalus,1100,NA
1967,Octopus spp,1600,NA
1967,Opisthonema oglinum,8601,NA
1967,Panulirus argus,9000,NA
1967,Panulirus argus2,1400,NA
1967,Panulirus argus3,3602,NA
1967,Sardinella aurita,40000,NA
1967,Thunnus atlanticus,2300,NA
1968,Callinectes sapidus,950,NA
1968,Centropomus spp,2900,NA
1968,Coryphaena hippurus,1744,NA
1968,Hirundichthys affinis,2000,NA
1968,Lobatus gigas,750,NA
1968,Lobatus gigas2,61,NA
1968,Lobatus gigas3,1450,NA
1968,Lobatus gigas4,44,NA
1968,Lobatus gigas5,1060,NA
1968,Lobatus gigas6,27,NA
1968,Lutjanus campechanus,2000,NA
1968,Menticirrhus littoralis,1957,NA
1968,Mugil cephalus,1000,NA
1968,Octopus spp,1900,NA
1968,Opisthonema oglinum,6993,NA
1968,Panulirus argus,9500,NA
1968,Panulirus argus2,2700,NA
1968,Panulirus argus3,4647,NA
1968,Sardinella aurita,36800,NA
1968,Thunnus atlanticus,2100,NA
1969,Callinectes sapidus,1000,NA
1969,Centropomus spp,2600,NA
1969,Coryphaena hippurus,1828,NA
1969,Hirundichthys affinis,1800,NA
1969,Lobatus gigas,750,NA
1969,Lobatus gigas2,64,NA
1969,Lobatus gigas3,1550,NA
1969,Lobatus gigas4,46,NA
1969,Lobatus gigas5,1060,NA
1969,Lobatus gigas6,28,NA
1969,Lutjanus campechanus,2100,NA
1969,Menticirrhus littoralis,1717,NA
1969,Mugil cephalus,1100,NA
1969,Octopus spp,2200,NA
1969,Opisthonema oglinum,4686,NA
1969,Panulirus argus,11600,NA
1969,Panulirus argus2,3100,NA
1969,Panulirus argus3,4839,NA
1969,Sardinella aurita,37000,NA
1969,Thunnus atlanticus,2400,NA
1970,Callinectes sapidus,1100,NA
1970,Centropomus spp,3000,NA
1970,Coryphaena hippurus,1700,NA
1970,Hirundichthys affinis,1500,NA
1970,Lobatus gigas,750,NA
1970,Lobatus gigas2,73,NA
1970,Lobatus gigas3,1650,NA
1970,Lobatus gigas4,48,NA
1970,Lobatus gigas5,530,NA
1970,Lobatus gigas6,29,NA
1970,Lutjanus campechanus,2300,NA
1970,Menticirrhus littoralis,1600,NA
1970,Mugil cephalus,700,NA
1970,Octopus spp,1500,NA
1970,Opisthonema oglinum,2600,NA
1970,Panulirus argus,8400,NA
1970,Panulirus argus2,3900,NA
1970,Panulirus argus3,6100,NA
1970,Sardinella aurita,41400,NA
1970,Thunnus atlanticus,3600,NA
1971,Callinectes sapidus,1200,NA
1971,Centropomus spp,4500,NA
1971,Coryphaena hippurus,1800,NA
1971,Hirundichthys affinis,1400,NA
1971,Lobatus gigas,750,NA
1971,Lobatus gigas2,175,NA
1971,Lobatus gigas3,1750,NA
1971,Lobatus gigas4,50,NA
1971,Lobatus gigas5,530,NA
1971,Lobatus gigas6,30,NA
1971,Lutjanus campechanus,2000,NA
1971,Menticirrhus littoralis,1600,NA
1971,Mugil cephalus,1200,NA
1971,Octopus spp,2200,NA
1971,Opisthonema oglinum,5000,NA
1971,Panulirus argus,9500,NA
1971,Panulirus argus2,3500,NA
1971,Panulirus argus3,5500,NA
1971,Sardinella aurita,44300,NA
1971,Thunnus atlanticus,3400,NA
1972,Callinectes sapidus,1300,NA
1972,Centropomus spp,2900,NA
1972,Coryphaena hippurus,1700,NA
1972,Hirundichthys affinis,1300,NA
1972,Lobatus gigas,1500,NA
1972,Lobatus gigas2,408,NA
1972,Lobatus gigas3,1850,NA
1972,Lobatus gigas4,52,NA
1972,Lobatus gigas5,530,NA
1972,Lobatus gigas6,31,NA
1972,Lutjanus campechanus,2800,NA
1972,Menticirrhus littoralis,1700,NA
1972,Mugil cephalus,1400,NA
1972,Octopus spp,3700,NA
1972,Opisthonema oglinum,10100,NA
1972,Panulirus argus,9600,NA
1972,Panulirus argus2,2300,NA
1972,Panulirus argus3,6900,NA
1972,Sardinella aurita,45400,NA
1972,Thunnus atlanticus,3000,NA
1973,Callinectes sapidus,1400,NA
1973,Centropomus spp,3700,NA
1973,Coryphaena hippurus,1500,NA
1973,Hirundichthys affinis,1500,NA
1973,Lobatus gigas,1500,NA
1973,Lobatus gigas2,856,NA
1973,Lobatus gigas3,1950,NA
1973,Lobatus gigas4,54,NA
1973,Lobatus gigas5,530,NA
1973,Lobatus gigas6,32,NA
1973,Lutjanus campechanus,2300,NA
1973,Menticirrhus littoralis,1600,NA
1973,Mugil cephalus,1100,NA
1973,Octopus spp,1900,NA
1973,Opisthonema oglinum,1700,NA
1973,Panulirus argus,9600,NA
1973,Panulirus argus2,2000,NA
1973,Panulirus argus3,7600,NA
1973,Sardinella aurita,47500,NA
1973,Thunnus atlanticus,980,NA
1974,Callinectes sapidus,1500,NA
1974,Centropomus spp,2743,NA
1974,Coryphaena hippurus,1607,NA
1974,Hirundichthys affinis,1450,NA
1974,Lobatus gigas,1928,NA
1974,Lobatus gigas2,990,NA
1974,Lobatus gigas3,2050,NA
1974,Lobatus gigas4,56,NA
1974,Lobatus gigas5,1071,433.83
1974,Lobatus gigas6,33,NA
1974,Lutjanus campechanus,2112,NA
1974,Menticirrhus littoralis,1167,NA
1974,Mugil cephalus,1128,NA
1974,Octopus spp,3281,NA
1974,Opisthonema oglinum,2018,NA
1974,Panulirus argus,10550,NA
1974,Panulirus argus2,3605,NA
1974,Panulirus argus3,7054,NA
1974,Sardinella aurita,22835,NA
1974,Thunnus atlanticus,1528,NA
1975,Callinectes sapidus,1600,NA
1975,Centropomus spp,2314,NA
1975,Coryphaena hippurus,2029,NA
1975,Hirundichthys affinis,2263,NA
1975,Lobatus gigas,2183,NA
1975,Lobatus gigas2,1655,NA
1975,Lobatus gigas3,2150,NA
1975,Lobatus gigas4,58,NA
1975,Lobatus gigas5,2671,NA
1975,Lobatus gigas6,34,NA
1975,Lutjanus campechanus,1937,NA
1975,Menticirrhus littoralis,915,NA
1975,Mugil cephalus,1772,26890
1975,Octopus spp,3529,NA
1975,Opisthonema oglinum,3131,NA
1975,Panulirus argus,9943,NA
1975,Panulirus argus2,5981,NA
1975,Panulirus argus3,5312,NA
1975,Sardinella aurita,47608,NA
1975,Thunnus atlanticus,1182,NA
1976,Callinectes sapidus,1700,NA
1976,Centropomus spp,2434,NA
1976,Coryphaena hippurus,2354,NA
1976,Hirundichthys affinis,2662,NA
1976,Lobatus gigas,2115,NA
1976,Lobatus gigas2,1398,NA
1976,Lobatus gigas3,2250,NA
1976,Lobatus gigas4,60,NA
1976,Lobatus gigas5,3445,368.77
1976,Lobatus gigas6,35,NA
1976,Lutjanus campechanus,1498,NA
1976,Menticirrhus littoralis,771,NA
1976,Mugil cephalus,1451,26734
1976,Octopus spp,4487,NA
1976,Opisthonema oglinum,8051,NA
1976,Panulirus argus,11241,NA
1976,Panulirus argus2,5806,NA
1976,Panulirus argus3,4535,NA
1976,Sardinella aurita,36733,NA
1976,Thunnus atlanticus,1740,NA
1977,Callinectes sapidus,1800,NA
1977,Centropomus spp,2351,NA
1977,Coryphaena hippurus,2323,NA
1977,Hirundichthys affinis,2193,NA
1977,Lobatus gigas,1830,NA
1977,Lobatus gigas2,885,NA
1977,Lobatus gigas3,2350,NA
1977,Lobatus gigas4,61,NA
1977,Lobatus gigas5,1871,513.72
1977,Lobatus gigas6,36,NA
1977,Lutjanus campechanus,1885,NA
1977,Menticirrhus littoralis,660,NA
1977,Mugil cephalus,1679,26499
1977,Octopus spp,6162,NA
1977,Opisthonema oglinum,2038,NA
1977,Panulirus argus,8320,NA
1977,Panulirus argus2,6246,NA
1977,Panulirus argus3,5216,NA
1977,Sardinella aurita,35752,NA
1977,Thunnus atlanticus,1808,NA
1978,Callinectes sapidus,1900,NA
1978,Centropomus spp,2178,NA
1978,Coryphaena hippurus,2215,NA
1978,Hirundichthys affinis,2655,NA
1978,Lobatus gigas,1560,NA
1978,Lobatus gigas2,402,NA
1978,Lobatus gigas3,2450,NA
1978,Lobatus gigas4,62,NA
1978,Lobatus gigas5,3058,385.9
1978,Lobatus gigas6,37,NA
1978,Lutjanus campechanus,1845,NA
1978,Menticirrhus littoralis,455,NA
1978,Mugil cephalus,2097,26106
1978,Octopus spp,2344,NA
1978,Opisthonema oglinum,676,NA
1978,Panulirus argus,11516,NA
1978,Panulirus argus2,7388,NA
1978,Panulirus argus3,4810,NA
1978,Sardinella aurita,26153,NA
1978,Thunnus atlanticus,2076,NA
1979,Callinectes sapidus,2000,NA
1979,Centropomus spp,4132,NA
1979,Coryphaena hippurus,2349,NA
1979,Hirundichthys affinis,2383,NA
1979,Lobatus gigas,2003,NA
1979,Lobatus gigas2,893,NA
1979,Lobatus gigas3,2550,NA
1979,Lobatus gigas4,63,NA
1979,Lobatus gigas5,4039,310.63
1979,Lobatus gigas6,38,NA
1979,Lutjanus campechanus,1759,NA
1979,Menticirrhus littoralis,202,NA
1979,Mugil cephalus,2048,25633
1979,Octopus spp,6558,NA
1979,Opisthonema oglinum,328,NA
1979,Panulirus argus,12082,NA
1979,Panulirus argus2,7151,NA
1979,Panulirus argus3,5777,NA
1979,Sardinella aurita,37047,NA
1979,Thunnus atlanticus,1802,NA
1980,Callinectes sapidus,2100,NA
1980,Centropomus spp,4237,NA
1980,Coryphaena hippurus,1943,NA
1980,Hirundichthys affinis,1181,NA
1980,Lobatus gigas,2415,NA
1980,Lobatus gigas2,750,NA
1980,Lobatus gigas3,2650,NA
1980,Lobatus gigas4,64,NA
1980,Lobatus gigas5,2968,350.4
1980,Lobatus gigas6,44,NA
1980,Lutjanus campechanus,1238,NA
1980,Menticirrhus littoralis,128,NA
1980,Mugil cephalus,3955,25160
1980,Octopus spp,6444,NA
1980,Opisthonema oglinum,2556,NA
1980,Panulirus argus,11486,NA
1980,Panulirus argus2,5255,NA
1980,Panulirus argus3,6183,NA
1980,Sardinella aurita,51764,NA
1980,Thunnus atlanticus,1915,NA
1981,Callinectes sapidus,2200,NA
1981,Centropomus spp,5311,NA
1981,Coryphaena hippurus,6394,NA
1981,Hirundichthys affinis,2117,NA
1981,Lobatus gigas,3750,NA
1981,Lobatus gigas2,600,NA
1981,Lobatus gigas3,2750,NA
1981,Lobatus gigas4,65,NA
1981,Lobatus gigas5,2020,386.93
1981,Lobatus gigas6,35,NA
1981,Lutjanus campechanus,1422,NA
1981,Menticirrhus littoralis,2444,NA
1981,Mugil cephalus,2893,23894
1981,Octopus spp,6868,NA
1981,Opisthonema oglinum,661,NA
1981,Panulirus argus,12389,NA
1981,Panulirus argus2,4797,NA
1981,Panulirus argus3,4822,NA
1981,Sardinella aurita,27974,NA
1981,Thunnus atlanticus,2811,NA
1982,Callinectes sapidus,2300,NA
1982,Centropomus spp,6070,NA
1982,Coryphaena hippurus,7355,NA
1982,Hirundichthys affinis,2201,NA
1982,Lobatus gigas,3510,NA
1982,Lobatus gigas2,430,NA
1982,Lobatus gigas3,2850,NA
1982,Lobatus gigas4,66,NA
1982,Lobatus gigas5,2062,255.83
1982,Lobatus gigas6,0,NA
1982,Lutjanus campechanus,1971,NA
1982,Menticirrhus littoralis,630,NA
1982,Mugil cephalus,2508,23262
1982,Octopus spp,6364,NA
1982,Opisthonema oglinum,177,NA
1982,Panulirus argus,12810,NA
1982,Panulirus argus2,3919,NA
1982,Panulirus argus3,5484,NA
1982,Sardinella aurita,52521,NA
1982,Thunnus atlanticus,2995,NA
1983,Callinectes sapidus,2400,NA
1983,Centropomus spp,5174,NA
1983,Coryphaena hippurus,7948,NA
1983,Hirundichthys affinis,4276,NA
1983,Lobatus gigas,3825,NA
1983,Lobatus gigas2,681,NA
1983,Lobatus gigas3,2950,NA
1983,Lobatus gigas4,67,NA
1983,Lobatus gigas5,3366,298.91
1983,Lobatus gigas6,7,NA
1983,Lutjanus campechanus,2578,NA
1983,Menticirrhus littoralis,1371,NA
1983,Mugil cephalus,4570,22948
1983,Octopus spp,8553,NA
1983,Opisthonema oglinum,1458,NA
1983,Panulirus argus,12312,430
1983,Panulirus argus2,7152,NA
1983,Panulirus argus3,5162,NA
1983,Sardinella aurita,41078,NA
1983,Thunnus atlanticus,2900,NA
1984,Callinectes sapidus,2823,38.1
1984,Centropomus spp,4293,NA
1984,Coryphaena hippurus,5849,NA
1984,Hirundichthys affinis,4486,NA
1984,Lobatus gigas,3555,NA
1984,Lobatus gigas2,525,NA
1984,Lobatus gigas3,3050,NA
1984,Lobatus gigas4,68,NA
1984,Lobatus gigas5,2878,NA
1984,Lobatus gigas6,37,NA
1984,Lutjanus campechanus,3448,30416.7
1984,Menticirrhus littoralis,1960,NA
1984,Mugil cephalus,5817,22634
1984,Octopus spp,5769,NA
1984,Opisthonema oglinum,1644,NA
1984,Panulirus argus,13770,420
1984,Panulirus argus2,6645,NA
1984,Panulirus argus3,6194,NA
1984,Sardinella aurita,48455,NA
1984,Thunnus atlanticus,3188,NA
1985,Callinectes sapidus,3597,46.1
1985,Centropomus spp,4493,NA
1985,Coryphaena hippurus,6724,NA
1985,Hirundichthys affinis,2066,NA
1985,Lobatus gigas,4058,NA
1985,Lobatus gigas2,801,NA
1985,Lobatus gigas3,3150,NA
1985,Lobatus gigas4,69,NA
1985,Lobatus gigas5,4017,NA
1985,Lobatus gigas6,26,NA
1985,Lutjanus campechanus,3303,27905.9
1985,Menticirrhus littoralis,1171,NA
1985,Mugil cephalus,4234,22320
1985,Octopus spp,6374,NA
1985,Opisthonema oglinum,1751,NA
1985,Panulirus argus,15475,414
1985,Panulirus argus2,7109,NA
1985,Panulirus argus3,7459,NA
1985,Sardinella aurita,53795,NA
1985,Thunnus atlanticus,2269,NA
1986,Callinectes sapidus,5105,42.9
1986,Centropomus spp,3786,0.11883111
1986,Coryphaena hippurus,7579,NA
1986,Hirundichthys affinis,2795,NA
1986,Lobatus gigas,3173,NA
1986,Lobatus gigas2,1011,NA
1986,Lobatus gigas3,3250,NA
1986,Lobatus gigas4,70,NA
1986,Lobatus gigas5,4791,309.78
1986,Lobatus gigas6,19,2.4
1986,Lutjanus campechanus,3901,25603.4
1986,Menticirrhus littoralis,5992,NA
